Domains Frequency Analysis
==================================================

Files processed: 27,866
Files with domains: 13,088
Total domains instances: 2,597,234
Unique domains types: 4,625

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
198	Fasciclin	2257	0.087%
199	GTP_EFTU	2257	0.087%
200	Innexin	2255	0.087%
201	DDE_1	2243	0.086%
202	cNMP_binding	2241	0.086%
203	MutS_III	2241	0.086%
204	Anoctamin	2232	0.086%
205	Retrotran_gag_2	2231	0.086%
206	Patatin	2209	0.085%
207	SPRY	2196	0.085%
208	SSF	2183	0.084%
209	ADK	2183	0.084%
210	SusD-like_3	2163	0.083%
211	Zip	2156	0.083%
212	Hydrolase	2152	0.083%
213	RHD3	2147	0.083%
214	TauE	2114	0.081%
215	Fungal_trans	2086	0.080%
216	Peptidase_C48	2083	0.080%
217	FYVE	2074	0.080%
218	Peptidase_M20	2065	0.080%
219	BPD_transp_1	2062	0.079%
220	PLAT	2046	0.079%
221	DDE_Tnp_4	2042	0.079%
222	RNA_pol	2033	0.078%
223	PALP	2028	0.078%
224	Glyco_transf_22	2026	0.078%
225	MMR_HSR1	2020	0.078%
226	P2X_receptor	2010	0.077%
227	Peptidase_S28	2006	0.077%
228	RhoGAP	2004	0.077%
229	ThiF	1996	0.077%
230	NAD_binding_10	1985	0.076%
231	ECH_1	1983	0.076%
232	CH	1981	0.076%
233	7tm_6	1959	0.075%
234	Lipase_3	1951	0.075%
235	RhoGEF	1947	0.075%
236	PAS_4	1945	0.075%
237	Sushi	1945	0.075%
238	DJ-1_PfpI	1940	0.075%
239	Transferase	1916	0.074%
240	SpoIIE	1914	0.074%
241	Autotransporter	1913	0.074%
242	B3	1910	0.074%
243	TetR_N	1900	0.073%
244	PS_pyruv_trans	1899	0.073%
245	Choline_transpo	1892	0.073%
246	Methyltransf_16	1891	0.073%
247	7tm_3	1889	0.073%
248	LANC_like	1871	0.072%
249	GAF_2	1864	0.072%
250	Cast	1863	0.072%
251	MutS_V	1858	0.072%
252	LRR_6	1852	0.071%
253	NAD_binding_1	1850	0.071%
254	Aldose_epim	1849	0.071%
255	Guanylate_cyc	1849	0.071%
256	Wzy_C	1848	0.071%
257	MMS1_N	1839	0.071%
258	DNA_photolyase	1833	0.071%
259	UAA	1830	0.070%
260	Rhodanese	1828	0.070%
261	Patched	1813	0.070%
262	CLTH	1811	0.070%
263	Peptidase_M16_C	1809	0.070%
264	Terpene_synth	1808	0.070%
265	Inositol_P	1802	0.069%
266	START	1788	0.069%
267	PGG	1784	0.069%
268	PS-DH	1781	0.069%
269	Jacalin	1781	0.069%
270	Ald_Xan_dh_C2	1776	0.068%
271	LCM	1776	0.068%
272	AAA_16	1775	0.068%
273	GDA1_CD39	1774	0.068%
274	An_peroxidase	1773	0.068%
275	ADH_N	1766	0.068%
276	SBP_bac_8	1755	0.068%
277	GDPD	1755	0.068%
278	His_Phos_2	1736	0.067%
279	Annexin	1736	0.067%
280	mTERF	1734	0.067%
281	RNA_pol_Rpb2_6	1733	0.067%
282	ubiquitin	1732	0.067%
283	zf-RING_2	1722	0.066%
284	DNA_ligase_A_M	1721	0.066%
285	CAP	1714	0.066%
286	IPK	1713	0.066%
287	Dynein_heavy	1713	0.066%
288	FAD_binding_3	1704	0.066%
289	FKBP_C	1698	0.065%
290	TPT	1691	0.065%
291	FMN_red	1690	0.065%
292	5_nucleotid	1686	0.065%
293	TRAPPC9-Trs120	1678	0.065%
294	ResIII	1675	0.064%
295	NmrA	1674	0.064%
296	Oxysterol_BP	1674	0.064%
297	F-box	1671	0.064%
298	ECH_2	1670	0.064%
299	Methyltransf_23	1665	0.064%
300	Bac_luciferase	1664	0.064%
301	GFO_IDH_MocA	1657	0.064%
302	GDI	1657	0.064%
303	DDE_Tnp_1_7	1655	0.064%
304	GBP_C	1646	0.063%
305	Peptidase_M3	1645	0.063%
306	Snf7	1644	0.063%
307	Peptidase_M24	1639	0.063%
308	FGE-sulfatase	1638	0.063%
309	CPSF_A	1631	0.063%
310	Na_Ca_ex	1620	0.062%
311	Radical_SAM	1620	0.062%
312	PAP2	1618	0.062%
313	CBS	1609	0.062%
314	FAD_binding_1	1606	0.062%
315	polyprenyl_synt	1606	0.062%
316	CLASP_N	1604	0.062%
317	Acyltransferase	1600	0.062%
318	LRRNT_2	1597	0.061%
319	HTH_1	1595	0.061%
320	PAN_2	1586	0.061%
321	COG7	1582	0.061%
322	Trehalase	1580	0.061%
323	Hormone_1	1579	0.061%
324	DUF222	1572	0.061%
325	Peptidase_M17	1571	0.060%
326	Astacin	1567	0.060%
327	Myb_DNA-binding	1554	0.060%
328	Neur_chan_LBD	1546	0.060%
329	Laminin_EGF	1542	0.059%
330	Exostosin	1539	0.059%
331	PA	1535	0.059%
332	tRNA-synt_2	1535	0.059%
333	Amidohydro_2	1532	0.059%
334	Peripla_BP_4	1528	0.059%
335	SpoU_methylase	1521	0.059%
336	Neprosin	1517	0.058%
337	MHC_I	1512	0.058%
338	Hist_deacetyl	1506	0.058%
339	DegT_DnrJ_EryC1	1505	0.058%
340	Cupin_8	1504	0.058%
341	RAMPs	1503	0.058%
342	PMT	1502	0.058%
343	Peptidase_M13	1500	0.058%
344	RNase_PH	1494	0.058%
345	Peptidase_A22B	1485	0.057%
346	DUF3808	1481	0.057%
347	Polysacc_synt_3	1477	0.057%
348	Glyoxalase	1469	0.057%
349	FAD_binding_2	1465	0.056%
350	DUF4283	1460	0.056%
351	RPOL_N	1446	0.056%
352	Vitellogenin_N	1437	0.055%
353	Sema	1437	0.055%
354	PAS_3	1434	0.055%
355	MULE	1434	0.055%
356	peroxidase	1432	0.055%
357	DUF229	1427	0.055%
358	SdrD_B	1425	0.055%
359	AMP-binding_C	1424	0.055%
360	PARG_cat	1422	0.055%
361	Methyltransf_25	1421	0.055%
362	DNA_methylase	1416	0.055%
363	PDEase_I	1416	0.055%
364	Cpn60_TCP1	1408	0.054%
365	ACC_central	1406	0.054%
366	Glyco_hydro_16	1393	0.054%
367	FAD_binding_7	1392	0.054%
368	Oxidored_FMN	1391	0.054%
369	Peptidase_M48	1390	0.054%
370	ROK	1388	0.053%
371	Cys_Met_Meta_PP	1377	0.053%
372	Laminin_G_2	1374	0.053%
373	Peripla_BP_6	1370	0.053%
374	Ion_trans_2	1370	0.053%
375	DAGAT	1367	0.053%
376	DUF659	1366	0.053%
377	UTP25	1363	0.052%
378	RVT_3	1363	0.052%
379	Galactosyl_T	1359	0.052%
380	MAP65_ASE1	1349	0.052%
381	Smg8_Smg9	1349	0.052%
382	Dynamin_N	1348	0.052%
383	Vps53_N	1341	0.052%
384	PP2C_2	1335	0.051%
385	Rhomboid	1324	0.051%
386	DUF1057	1318	0.051%
387	Glyco_hydro_61	1316	0.051%
388	Trypsin_2	1315	0.051%
389	DUF674	1311	0.050%
390	Cadherin_3	1310	0.050%
391	Competence	1308	0.050%
392	HisKA_3	1307	0.050%
393	GBP	1306	0.050%
394	Arf	1301	0.050%
395	FAT	1301	0.050%
396	Arrestin_C	1299	0.050%
397	Phosphodiest	1298	0.050%
398	Filament	1296	0.050%
399	PCI	1295	0.050%
400	ACPS	1294	0.050%
401	CoA_transf_3	1293	0.050%
402	Glyco_hydro_3	1291	0.050%
403	Peptidase_S9_N	1291	0.050%
404	Integrin_alpha2	1291	0.050%
405	Nucleos_tra2_C	1288	0.050%
406	EPSP_synthase	1279	0.049%
407	Sigma70_r2	1274	0.049%
408	Proteasome	1265	0.049%
409	UDP-g_GGTase	1265	0.049%
410	Chorismate_bind	1264	0.049%
411	PGA_cap	1260	0.049%
412	DHC_N2	1260	0.049%
413	Tcp11	1260	0.049%
414	Fibrinogen_C	1256	0.048%
415	Nucleoporin_N	1256	0.048%
416	FCD	1253	0.048%
417	BAR	1250	0.048%
418	NAD_binding_4	1246	0.048%
419	IKI3	1243	0.048%
420	Malectin_like	1242	0.048%
421	IgGFc_binding	1239	0.048%
422	PhyH	1239	0.048%
423	Glyco_hydro_38	1238	0.048%
424	CHAT	1235	0.048%
425	Sec23_trunk	1235	0.048%
426	FancD2	1233	0.047%
427	dCache_1	1230	0.047%
428	Septin	1228	0.047%
429	TPR_12	1219	0.047%
430	RNase_H	1219	0.047%
431	DNA_ligase_A_N	1217	0.047%
432	HTH_3	1217	0.047%
433	PP-binding	1214	0.047%
434	FMN_dh	1212	0.047%
435	Gal-3-0_sulfotr	1212	0.047%
436	SBP_bac_3	1212	0.047%
437	Glyco_hydro_7	1211	0.047%
438	Glyco_hydro_1	1208	0.047%
439	FecCD	1206	0.046%
440	TAXi_N	1206	0.046%
441	STAS	1205	0.046%
442	FecR	1204	0.046%
443	Pectinesterase	1204	0.046%
444	TSP_1	1194	0.046%
445	7tm_2	1188	0.046%
446	PX	1187	0.046%
447	RNA_pol_Rpb1_5	1187	0.046%
448	BRO1	1187	0.046%
449	Thaumatin	1186	0.046%
450	GST_N_3	1183	0.046%
451	Rad51	1181	0.045%
452	PMT_4TMC	1178	0.045%
453	PAXNEB	1176	0.045%
454	Peptidase_M1	1173	0.045%
455	HD	1173	0.045%
456	DNA_topoisoIV	1172	0.045%
457	ELO	1171	0.045%
458	Carboxyl_trans	1170	0.045%
459	HlyD_D23	1168	0.045%
460	Bac_surface_Ag	1168	0.045%
461	SNF	1166	0.045%
462	RGS	1164	0.045%
463	Peptidase_M50	1163	0.045%
464	HOOK	1162	0.045%
465	DUF4974	1160	0.045%
466	GST_C_3	1155	0.044%
467	DUF2339	1154	0.044%
468	Peripla_BP_3	1152	0.044%
469	Kelch_1	1149	0.044%
470	Cation_ATPase_C	1145	0.044%
471	Fungal_trans_2	1141	0.044%
472	Lipocalin	1138	0.044%
473	Peptidase_M8	1135	0.044%
474	OPT	1127	0.043%
475	Sulfotransfer_3	1125	0.043%
476	AAA_31	1124	0.043%
477	Peptidase_C12	1124	0.043%
478	FH2	1122	0.043%
479	Cyclin_N	1121	0.043%
480	FapA	1116	0.043%
481	Hus1	1115	0.043%
482	DUF241	1115	0.043%
483	Plug	1114	0.043%
484	ketoacyl-synt	1114	0.043%
485	Glyco_transf_10	1110	0.043%
486	CD36	1110	0.043%
487	Aminotran_5	1109	0.043%
488	Dimer_Tnp_hAT	1109	0.043%
489	GerE	1107	0.043%
490	BTB_2	1107	0.043%
491	HSF_DNA-bind	1107	0.043%
492	Peptidase_S13	1105	0.043%
493	Maf	1103	0.042%
494	PDDEXK_1	1102	0.042%
495	GUB_WAK_bind	1102	0.042%
496	Lycopene_cycl	1096	0.042%
497	Carb_anhydrase	1095	0.042%
498	Gag_p24	1093	0.042%
499	VWD	1092	0.042%
500	GntR	1089	0.042%
501	KR	1087	0.042%
502	Lactamase_B	1085	0.042%
503	TH1	1079	0.042%
504	ERAP1_C	1073	0.041%
505	SIS	1072	0.041%
506	Serpin	1070	0.041%
507	Polysacc_deac_1	1070	0.041%
508	MFS_2	1069	0.041%
509	Ndc1_Nup	1067	0.041%
510	FGGY_C	1066	0.041%
511	Mur_ligase_M	1065	0.041%
512	Plexin_cytopl	1064	0.041%
513	Bromodomain	1063	0.041%
514	Tubulin	1063	0.041%
515	Cyt-b5	1061	0.041%
516	GCFC	1061	0.041%
517	FAD_binding_5	1060	0.041%
518	Myosin_tail_1	1060	0.041%
519	2-oxoacid_dh	1056	0.041%
520	Ureide_permease	1055	0.041%
521	DIOX_N	1052	0.041%
522	Methyltransf_28	1050	0.040%
523	Flavodoxin_1	1050	0.040%
524	ABC1	1049	0.040%
525	TAXi_C	1049	0.040%
526	2-Hacid_dh_C	1045	0.040%
527	Ldl_recept_a	1043	0.040%
528	TLD	1042	0.040%
529	Kunitz_BPTI	1040	0.040%
530	FtsX	1033	0.040%
531	Bax1-I	1032	0.040%
532	FGGY_N	1031	0.040%
533	MAM	1028	0.040%
534	AA_kinase	1027	0.040%
535	IF4E	1026	0.040%
536	SPX	1025	0.039%
537	DUF748	1023	0.039%
538	Acyl_transf_1	1023	0.039%
539	WD-3	1020	0.039%
540	PMI_typeI	1019	0.039%
541	DUF829	1010	0.039%
542	HMG_box	1007	0.039%
543	LIM	1006	0.039%
544	Adaptin_N	1003	0.039%
545	tRNA-synt_1e	1001	0.039%
546	GOLGA2L5	999	0.038%
547	UDG	998	0.038%
548	Methyltransf_29	995	0.038%
549	LRR_1	992	0.038%
550	Transglut_core	991	0.038%
551	Glyco_hydro_10	991	0.038%
552	TANGO2	988	0.038%
553	HA2	985	0.038%
554	AIG1	984	0.038%
555	PMEI	980	0.038%
556	Fe-ADH	979	0.038%
557	Methyltransf_21	977	0.038%
558	SASA	976	0.038%
559	Gaa1	976	0.038%
560	AI-2E_transport	976	0.038%
561	NMT1_3	975	0.038%
562	zf-C3HC4_3	974	0.038%
563	FtsJ	971	0.037%
564	AdoHcyase	970	0.037%
565	Resolvase	968	0.037%
566	Carb_kinase	968	0.037%
567	Peptidase_M10	967	0.037%
568	TPR_8	967	0.037%
569	GST_N	964	0.037%
570	Porin_3	962	0.037%
571	PUNUT	961	0.037%
572	RasGEF	961	0.037%
573	E3_UbLigase_R4	960	0.037%
574	HEAT_2	958	0.037%
575	PQQ_2	958	0.037%
576	TIG	958	0.037%
577	BT1	955	0.037%
578	Neurochondrin	955	0.037%
579	RNase_T	953	0.037%
580	Abi	952	0.037%
581	CTP_transf_like	950	0.037%
582	Acetyltransf_10	948	0.037%
583	Bestrophin	948	0.037%
584	PGK	947	0.036%
585	Lactamase_B_2	944	0.036%
586	GATase	944	0.036%
587	Alpha_L_fucos	944	0.036%
588	Lipase	943	0.036%
589	PRD	941	0.036%
590	Glyco_hydro_20	941	0.036%
591	McrBC	939	0.036%
592	CTP_transf_1	938	0.036%
593	Syja_N	938	0.036%
594	Dynamin_M	938	0.036%
595	ShlB	938	0.036%
596	HI0933_like	937	0.036%
597	SBP_bac_1	937	0.036%
598	PEPcase	934	0.036%
599	ArsA_ATPase	934	0.036%
600	DnaJ_C	931	0.036%
601	API5	928	0.036%
602	Glyco_trans_1_4	927	0.036%
603	OTU	927	0.036%
604	Methyltransf_2	925	0.036%
605	efThoc1	924	0.036%
606	Cu-oxidase_3	923	0.036%
607	DUF647	921	0.035%
608	Neur_chan_memb	921	0.035%
609	Clathrin	919	0.035%
610	Mannosyl_trans3	918	0.035%
611	Velvet	918	0.035%
612	Lyase_1	917	0.035%
613	Melibiase	916	0.035%
614	PAP_central	915	0.035%
615	DUF262	913	0.035%
616	T2SSE	910	0.035%
617	Cu-oxidase_2	910	0.035%
618	tRNA-synt_2b	910	0.035%
619	Peripla_BP_2	910	0.035%
620	IIGP	910	0.035%
621	CorA	909	0.035%
622	Cnd3	906	0.035%
623	FSH1	906	0.035%
624	ERG4_ERG24	905	0.035%
625	Glyco_hydro_6	904	0.035%
626	PPR_1	904	0.035%
627	PKD_channel	903	0.035%
628	Mon2_C	901	0.035%
629	Cupin_1	900	0.035%
630	LytTR	899	0.035%
631	RINT1_TIP1	898	0.035%
632	DUF218	897	0.035%
633	CRT-like	896	0.034%
634	HhH-GPD	894	0.034%
635	Choline_kinase	894	0.034%
636	Cyclin	894	0.034%
637	DUF2362	894	0.034%
638	Peptidase_C69	893	0.034%
639	IGPS	893	0.034%
640	TIR_2	892	0.034%
641	Alpha-amylase	891	0.034%
642	PK	891	0.034%
643	S1	890	0.034%
644	Biotin_lipoyl	889	0.034%
645	Lectin_legB	888	0.034%
646	Fructosamin_kin	887	0.034%
647	PMD	886	0.034%
648	N6_Mtase	885	0.034%
649	Beach	883	0.034%
650	60KD_IMP	882	0.034%
651	GSH_synth_ATP	880	0.034%
652	Nucleoside_tran	880	0.034%
653	PAN_4	879	0.034%
654	Sin_N	877	0.034%
655	FbpA	877	0.034%
656	DUF4413	876	0.034%
657	Fer2	875	0.034%
658	IMS	875	0.034%
659	tRNA-synt_2c	874	0.034%
660	TPR_16	873	0.034%
661	Acyl-CoA_dh_N	873	0.034%
662	SBF	872	0.034%
663	EF-hand_7	871	0.034%
664	DSHCT	870	0.033%
665	Nop14	870	0.033%
666	TP_methylase	870	0.033%
667	Alg6_Alg8	870	0.033%
668	DctM	870	0.033%
669	DUF1336	868	0.033%
670	Glyco_hydro_3_C	866	0.033%
671	AP_endonuc_2	864	0.033%
672	GATase_7	862	0.033%
673	XG_FTase	862	0.033%
674	DNA_pol_E_B	859	0.033%
675	Ribosomal_L3	855	0.033%
676	NAD_binding_5	854	0.033%
677	5_nucleotid_C	853	0.033%
678	CotH	851	0.033%
679	Acyl-CoA_dh_1	850	0.033%
680	RNA_pol_Rpb2_1	850	0.033%
681	YfhO	849	0.033%
682	RNA_pol_Rpb1_1	849	0.033%
683	FHIPEP	848	0.033%
684	Glyco_hydro_9	848	0.033%
685	FHA	847	0.033%
686	Trans_reg_C	847	0.033%
687	PhoLip_ATPase_C	845	0.033%
688	DUF773	843	0.032%
689	Peptidase_S41	843	0.032%
690	F5_F8_type_C	842	0.032%
691	BTAD	842	0.032%
692	HSP90	842	0.032%
693	FAR1	841	0.032%
694	AAA_33	835	0.032%
695	Spond_N	835	0.032%
696	AhpC-TSA	834	0.032%
697	TRAM_LAG1_CLN8	834	0.032%
698	MRG	834	0.032%
699	CHGN	833	0.032%
700	Histone	832	0.032%
701	LON_substr_bdg	830	0.032%
702	Polysacc_synt_C	829	0.032%
703	Cation_ATPase	827	0.032%
704	PRK	826	0.032%
705	BACK	826	0.032%
706	GPI2	825	0.032%
707	AAA_30	823	0.032%
708	Zn_clus	822	0.032%
709	BPL_LplA_LipB	820	0.032%
710	Kazal_2	818	0.031%
711	Endonuclease_NS	818	0.031%
712	CNH	818	0.031%
713	AAA_15	817	0.031%
714	Calreticulin	816	0.031%
715	2OG-FeII_Oxy	815	0.031%
716	Meckelin	814	0.031%
717	Glyco_hydro_2_C	813	0.031%
718	tRNA_Me_trans	811	0.031%
719	Glyco_hydro_63	810	0.031%
720	RWD	809	0.031%
721	Glyco_trans_4_4	807	0.031%
722	Ammonium_transp	806	0.031%
723	RSN1_7TM	804	0.031%
724	CDC50	804	0.031%
725	Cu-oxidase	803	0.031%
726	Aquarius_N	803	0.031%
727	AA_permease	802	0.031%
728	SKI	800	0.031%
729	Dna2	800	0.031%
730	PhzC-PhzF	800	0.031%
731	Methyltransf_31	798	0.031%
732	DNA_pol_A	798	0.031%
733	Tyrosinase	797	0.031%
734	Malectin	797	0.031%
735	FUSC	794	0.031%
736	SAC3_GANP	794	0.031%
737	COPIIcoated_ERV	787	0.030%
738	DHQ_synthase	786	0.030%
739	CN_hydrolase	786	0.030%
740	Cofilin_ADF	784	0.030%
741	Laminin_G_3	784	0.030%
742	Kelch_4	784	0.030%
743	PNP_UDP_1	784	0.030%
744	CDP-OH_P_transf	783	0.030%
745	DDE_Tnp_Tn3	783	0.030%
746	Put_Phosphatase	780	0.030%
747	Xan_ur_permease	780	0.030%
748	CLPTM1	779	0.030%
749	Cas1_AcylT	778	0.030%
750	Dynactin	778	0.030%
751	DUF711	777	0.030%
752	PARP	776	0.030%
753	Arm	772	0.030%
754	F-box-like	772	0.030%
755	TRM	769	0.030%
756	DNA_primase_lrg	769	0.030%
757	Macro	767	0.030%
758	Ldh_1_N	766	0.029%
759	His_kinase	763	0.029%
760	Arrestin_N	763	0.029%
761	ADH_zinc_N_2	761	0.029%
762	FERM_M	760	0.029%
763	IF-2B	760	0.029%
764	GMC_oxred_N	760	0.029%
765	NAD_binding_6	759	0.029%
766	PAZ	757	0.029%
767	PC-Esterase	757	0.029%
768	NTP_transferase	756	0.029%
769	TrwC	756	0.029%
770	Prominin	756	0.029%
771	PDZ	755	0.029%
772	tRNA-synt_1	755	0.029%
773	LRR_9	753	0.029%
774	GSCFA	753	0.029%
775	URO-D	752	0.029%
776	OCD_Mu_crystall	752	0.029%
777	CLP1_P	751	0.029%
778	Glyco_hydro_76	750	0.029%
779	FUSC_2	750	0.029%
780	Hydrolase_6	748	0.029%
781	Met_10	748	0.029%
782	Nuc_sug_transp	748	0.029%
783	Ca_hom_mod	746	0.029%
784	NAD_kinase	746	0.029%
785	PspA_IM30	745	0.029%
786	DUF3367	745	0.029%
787	tRNA-synt_His	745	0.029%
788	HTH_Tnp_Tc5	745	0.029%
789	Ank	743	0.029%
790	HA	743	0.029%
791	Arm_2	743	0.029%
792	Sec7	742	0.029%
793	NPR2	742	0.029%
794	Glyco_tran_28_C	740	0.028%
795	NAD_binding_8	739	0.028%
796	DAGK_cat	739	0.028%
797	DHC_N1	737	0.028%
798	DUF563	737	0.028%
799	GST_C	735	0.028%
800	MCM_bind	735	0.028%
801	FliD_C	734	0.028%
802	Homeobox	733	0.028%
803	Glyco_hydro_77	733	0.028%
804	2OG-FeII_Oxy_2	733	0.028%
805	TatD_DNase	733	0.028%
806	NAM	732	0.028%
807	DUF155	731	0.028%
808	Nramp	730	0.028%
809	Pantoate_ligase	727	0.028%
810	Inhibitor_I29	727	0.028%
811	Thioredoxin_6	723	0.028%
