Orthologous Groups Frequency Analysis
==================================================

Files processed: 27,866
Files with orthologous_groups: 18,159
Total orthologous_groups instances: 88,315
Unique orthologous_groups types: 57,191

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
121	2SW5Z@2759|Eukaryota	24	0.027%
122	COG0604@1|root	23	0.026%
123	COG2304@1|root	23	0.026%
124	38F42@33154|Opisthokonta	23	0.026%
125	COG1629@1|root	22	0.025%
126	COG2814@2|Bacteria	22	0.025%
127	KOG2177@1|root	22	0.025%
128	KOG2177@2759|Eukaryota	22	0.025%
129	COG5245@1|root	22	0.025%
130	KOG3595@2759|Eukaryota	22	0.025%
131	COG0702@1|root	22	0.025%
132	COG0673@1|root	22	0.025%
133	COG4932@1|root	22	0.025%
134	COG4932@2|Bacteria	22	0.025%
135	COG3321@1|root	22	0.025%
136	38BUP@33154|Opisthokonta	22	0.025%
137	COG4870@1|root	22	0.025%
138	KOG4475@1|root	21	0.024%
139	KOG4475@2759|Eukaryota	21	0.024%
140	COG5126@1|root	21	0.024%
141	COG0194@1|root	21	0.024%
142	COG2197@1|root	21	0.024%
143	COG2197@2|Bacteria	21	0.024%
144	COG0464@1|root	21	0.024%
145	KOG0800@1|root	21	0.024%
146	KOG0800@2759|Eukaryota	21	0.024%
147	COG5492@1|root	20	0.023%
148	COG5492@2|Bacteria	20	0.023%
149	KOG0586@1|root	20	0.023%
150	KOG0586@2759|Eukaryota	20	0.023%
151	COG3391@1|root	20	0.023%
152	COG3391@2|Bacteria	20	0.023%
153	COG2133@1|root	20	0.023%
154	KOG1208@2759|Eukaryota	20	0.023%
155	COG5078@1|root	20	0.023%
156	COG5021@1|root	20	0.023%
157	37RFN@33090|Viridiplantae	20	0.023%
158	COG0639@1|root	19	0.022%
159	COG2114@1|root	19	0.022%
160	COG1846@1|root	19	0.022%
161	COG1846@2|Bacteria	19	0.022%
162	COG2244@1|root	19	0.022%
163	COG2340@1|root	19	0.022%
164	COG0545@1|root	19	0.022%
165	COG2267@1|root	19	0.022%
166	28KZG@1|root	19	0.022%
167	COG0589@1|root	18	0.020%
168	COG1012@1|root	18	0.020%
169	COG1215@1|root	18	0.020%
170	COG2244@2|Bacteria	18	0.020%
171	COG1024@1|root	18	0.020%
172	COG2133@2|Bacteria	18	0.020%
173	COG0652@1|root	18	0.020%
174	KOG1426@2759|Eukaryota	18	0.020%
175	COG5022@1|root	18	0.020%
176	3GH54@35493|Streptophyta	18	0.020%
177	39TZY@33154|Opisthokonta	18	0.020%
178	COG1629@2|Bacteria	17	0.019%
179	COG0456@2|Bacteria	17	0.019%
180	KOG1215@1|root	17	0.019%
181	KOG1215@2759|Eukaryota	17	0.019%
182	COG0415@1|root	17	0.019%
183	COG1215@2|Bacteria	17	0.019%
184	COG2304@2|Bacteria	17	0.019%
185	COG0745@1|root	17	0.019%
186	COG0745@2|Bacteria	17	0.019%
187	KOG4308@1|root	17	0.019%
188	KOG4308@2759|Eukaryota	17	0.019%
189	1MU2C@1224|Proteobacteria	17	0.019%
190	COG0443@1|root	17	0.019%
191	COG0814@1|root	17	0.019%
192	KOG1543@2759|Eukaryota	17	0.019%
193	38BSU@33154|Opisthokonta	17	0.019%
194	KOG2084@2759|Eukaryota	17	0.019%
195	KOG1515@2759|Eukaryota	17	0.019%
196	37P43@33090|Viridiplantae	17	0.019%
197	3GF32@35493|Streptophyta	17	0.019%
198	2SI7S@2759|Eukaryota	17	0.019%
199	37QD6@33090|Viridiplantae	17	0.019%
200	3GCW1@35493|Streptophyta	17	0.019%
201	3A7VW@33154|Opisthokonta	17	0.019%
202	3BKSI@33208|Metazoa	17	0.019%
203	3D2CI@33213|Bilateria	17	0.019%
204	COG1643@1|root	16	0.018%
205	COG0531@1|root	16	0.018%
206	KOG3510@1|root	16	0.018%
207	KOG3510@2759|Eukaryota	16	0.018%
208	38CH6@33154|Opisthokonta	16	0.018%
209	COG0154@1|root	16	0.018%
210	COG0451@2|Bacteria	16	0.018%
211	COG0463@1|root	16	0.018%
212	KOG4228@2759|Eukaryota	16	0.018%
213	COG1506@1|root	16	0.018%
214	COG0277@1|root	16	0.018%
215	COG1073@1|root	16	0.018%
216	KOG3017@2759|Eukaryota	16	0.018%
217	COG1835@1|root	16	0.018%
218	KOG1311@2759|Eukaryota	16	0.018%
219	COG2234@1|root	16	0.018%
220	KOG0255@1|root	16	0.018%
221	KOG0255@2759|Eukaryota	16	0.018%
222	48AWW@7711|Chordata	16	0.018%
223	499TS@7742|Vertebrata	16	0.018%
224	3JJWB@40674|Mammalia	16	0.018%
225	COG0557@1|root	15	0.017%
226	COG0732@1|root	15	0.017%
227	COG0732@2|Bacteria	15	0.017%
228	COG2072@1|root	15	0.017%
229	COG0494@1|root	15	0.017%
230	COG0463@2|Bacteria	15	0.017%
231	KOG0708@2759|Eukaryota	15	0.017%
232	COG0790@1|root	15	0.017%
233	COG0318@2|Bacteria	15	0.017%
234	COG2226@2|Bacteria	15	0.017%
235	COG1835@2|Bacteria	15	0.017%
236	COG2267@2|Bacteria	15	0.017%
237	KOG0254@1|root	15	0.017%
238	KOG0254@2759|Eukaryota	15	0.017%
239	KOG3544@1|root	15	0.017%
240	KOG3544@2759|Eukaryota	15	0.017%
241	3BC78@33208|Metazoa	15	0.017%
242	3CRSA@33213|Bilateria	15	0.017%
243	38BVK@33154|Opisthokonta	15	0.017%
244	3BI15@33208|Metazoa	15	0.017%
245	COG2911@1|root	14	0.016%
246	COG2911@2|Bacteria	14	0.016%
247	COG0204@1|root	14	0.016%
248	COG0591@1|root	14	0.016%
249	COG3491@1|root	14	0.016%
250	COG0789@1|root	14	0.016%
251	COG0789@2|Bacteria	14	0.016%
252	COG1960@1|root	14	0.016%
253	COG1403@1|root	14	0.016%
254	COG0534@1|root	14	0.016%
255	COG1595@1|root	14	0.016%
256	COG1595@2|Bacteria	14	0.016%
257	COG1020@2|Bacteria	14	0.016%
258	COG2203@1|root	14	0.016%
259	COG2203@2|Bacteria	14	0.016%
260	COG0823@1|root	14	0.016%
261	COG0823@2|Bacteria	14	0.016%
262	COG0671@1|root	14	0.016%
263	KOG1840@2759|Eukaryota	14	0.016%
264	KOG3614@1|root	14	0.016%
265	KOG3614@2759|Eukaryota	14	0.016%
266	3BAFT@33208|Metazoa	14	0.016%
267	KOG3714@1|root	14	0.016%
268	KOG3714@2759|Eukaryota	14	0.016%
269	KOG1278@1|root	14	0.016%
270	COG5210@1|root	14	0.016%
271	COG5147@1|root	14	0.016%
272	COG5190@1|root	14	0.016%
273	KOG0266@1|root	14	0.016%
274	KOG0266@2759|Eukaryota	14	0.016%
275	COG2214@1|root	14	0.016%
276	KOG4585@1|root	14	0.016%
277	KOG4585@2759|Eukaryota	14	0.016%
278	COG1409@1|root	13	0.015%
279	COG2931@1|root	13	0.015%
280	COG2931@2|Bacteria	13	0.015%
281	COG5239@1|root	13	0.015%
282	KOG0061@2759|Eukaryota	13	0.015%
283	KOG0725@2759|Eukaryota	13	0.015%
284	COG2963@1|root	13	0.015%
285	COG2963@2|Bacteria	13	0.015%
286	COG4886@2|Bacteria	13	0.015%
287	COG0589@2|Bacteria	13	0.015%
288	COG0210@1|root	13	0.015%
289	COG5002@1|root	13	0.015%
290	COG5002@2|Bacteria	13	0.015%
291	COG0654@1|root	13	0.015%
292	COG0673@2|Bacteria	13	0.015%
293	COG3307@1|root	13	0.015%
294	COG3307@2|Bacteria	13	0.015%
295	COG1403@2|Bacteria	13	0.015%
296	KOG3509@1|root	13	0.015%
297	KOG3509@2759|Eukaryota	13	0.015%
298	KOG3594@2759|Eukaryota	13	0.015%
299	COG1961@1|root	13	0.015%
300	COG1961@2|Bacteria	13	0.015%
301	COG0249@1|root	13	0.015%
302	COG0637@1|root	13	0.015%
303	COG3321@2|Bacteria	13	0.015%
304	KOG0698@2759|Eukaryota	13	0.015%
305	COG0580@1|root	13	0.015%
306	38D2H@33154|Opisthokonta	13	0.015%
307	3BASE@33208|Metazoa	13	0.015%
308	3CSW8@33213|Bilateria	13	0.015%
309	COG1680@1|root	13	0.015%
310	COG0784@1|root	13	0.015%
311	COG0784@2|Bacteria	13	0.015%
312	KOG1516@2759|Eukaryota	13	0.015%
313	COG0144@1|root	13	0.015%
314	COG0661@1|root	13	0.015%
315	COG0563@1|root	13	0.015%
316	KOG1337@1|root	13	0.015%
317	KOG1337@2759|Eukaryota	13	0.015%
318	KOG1695@1|root	13	0.015%
319	KOG1695@2759|Eukaryota	13	0.015%
320	KOG1584@1|root	13	0.015%
321	KOG1584@2759|Eukaryota	13	0.015%
322	KOG1947@1|root	13	0.015%
323	KOG1947@2759|Eukaryota	13	0.015%
324	KOG2102@2759|Eukaryota	13	0.015%
325	KOG0583@1|root	13	0.015%
326	KOG0583@2759|Eukaryota	13	0.015%
327	KOG4294@1|root	13	0.015%
328	KOG4294@2759|Eukaryota	13	0.015%
329	KOG0516@2759|Eukaryota	13	0.015%
330	KOG2504@1|root	13	0.015%
331	KOG2504@2759|Eukaryota	13	0.015%
332	KOG3882@1|root	13	0.015%
333	KOG3882@2759|Eukaryota	13	0.015%
334	COG3325@1|root	13	0.015%
335	KOG4087@1|root	13	0.015%
336	KOG4087@2759|Eukaryota	13	0.015%
337	KOG3538@1|root	12	0.014%
338	COG0665@1|root	12	0.014%
339	COG1022@1|root	12	0.014%
340	COG4625@1|root	12	0.014%
341	COG4625@2|Bacteria	12	0.014%
342	COG1520@1|root	12	0.014%
343	COG1196@2|Bacteria	12	0.014%
344	COG1404@2|Bacteria	12	0.014%
345	COG0346@1|root	12	0.014%
346	38MWZ@33154|Opisthokonta	12	0.014%
347	3BHXY@33208|Metazoa	12	0.014%
348	3CW3K@33213|Bilateria	12	0.014%
349	47YVY@7711|Chordata	12	0.014%
350	48VNC@7742|Vertebrata	12	0.014%
351	3JERR@40674|Mammalia	12	0.014%
352	COG0845@1|root	12	0.014%
353	COG3250@1|root	12	0.014%
354	COG0845@2|Bacteria	12	0.014%
355	COG2303@1|root	12	0.014%
356	COG0477@2|Bacteria	12	0.014%
357	COG0596@2|Bacteria	12	0.014%
358	COG0699@1|root	12	0.014%
359	COG3119@1|root	12	0.014%
360	COG3712@1|root	12	0.014%
361	COG3712@2|Bacteria	12	0.014%
362	COG0659@1|root	12	0.014%
363	COG5077@1|root	12	0.014%
364	KOG1278@2759|Eukaryota	12	0.014%
365	3BA5H@33208|Metazoa	12	0.014%
366	KOG1399@2759|Eukaryota	12	0.014%
367	COG5272@1|root	12	0.014%
368	KOG0660@1|root	12	0.014%
369	KOG0660@2759|Eukaryota	12	0.014%
370	KOG4441@1|root	12	0.014%
371	KOG4441@2759|Eukaryota	12	0.014%
372	COG3590@1|root	12	0.014%
373	KOG0613@1|root	12	0.014%
374	KOG0613@2759|Eukaryota	12	0.014%
375	KOG1178@2759|Eukaryota	12	0.014%
376	KOG1153@2759|Eukaryota	12	0.014%
377	2QTGB@2759|Eukaryota	12	0.014%
378	COG5169@1|root	12	0.014%
379	KOG0627@2759|Eukaryota	12	0.014%
380	COG5068@1|root	12	0.014%
381	KOG2037@1|root	12	0.014%
382	KOG2037@2759|Eukaryota	12	0.014%
383	3A2CD@33154|Opisthokonta	12	0.014%
384	3BQJ8@33208|Metazoa	12	0.014%
385	3D6IV@33213|Bilateria	12	0.014%
386	48DYK@7711|Chordata	12	0.014%
387	49AVA@7742|Vertebrata	12	0.014%
388	3JGHQ@40674|Mammalia	12	0.014%
389	38DPZ@33154|Opisthokonta	12	0.014%
390	3BBR0@33208|Metazoa	12	0.014%
391	3CRTT@33213|Bilateria	12	0.014%
392	KOG1056@1|root	12	0.014%
393	KOG1056@2759|Eukaryota	12	0.014%
394	COG0446@1|root	11	0.012%
395	COG1538@1|root	11	0.012%
396	COG1538@2|Bacteria	11	0.012%
397	COG0406@1|root	11	0.012%
398	COG3437@1|root	11	0.012%
399	COG3437@2|Bacteria	11	0.012%
400	COG4191@1|root	11	0.012%
401	COG4191@2|Bacteria	11	0.012%
402	KOG3736@1|root	11	0.012%
403	KOG1818@1|root	11	0.012%
404	KOG1818@2759|Eukaryota	11	0.012%
405	KOG3575@1|root	11	0.012%
406	KOG3575@2759|Eukaryota	11	0.012%
407	COG4581@1|root	11	0.012%
408	COG0702@2|Bacteria	11	0.012%
409	COG0664@2|Bacteria	11	0.012%
410	COG0842@1|root	11	0.012%
411	COG0842@2|Bacteria	11	0.012%
412	COG0210@2|Bacteria	11	0.012%
413	COG1670@1|root	11	0.012%
414	COG1670@2|Bacteria	11	0.012%
415	COG0564@1|root	11	0.012%
416	COG0667@1|root	11	0.012%
417	COG2273@1|root	11	0.012%
418	COG1476@1|root	11	0.012%
419	COG1476@2|Bacteria	11	0.012%
420	COG5307@1|root	11	0.012%
421	COG0439@1|root	11	0.012%
422	COG1609@1|root	11	0.012%
423	COG1609@2|Bacteria	11	0.012%
424	COG3279@1|root	11	0.012%
425	COG3279@2|Bacteria	11	0.012%
426	COG0625@1|root	11	0.012%
427	COG2909@1|root	11	0.012%
428	COG2909@2|Bacteria	11	0.012%
429	COG2132@1|root	11	0.012%
430	COG0369@1|root	11	0.012%
431	COG2217@1|root	11	0.012%
432	COG0737@1|root	11	0.012%
433	KOG1041@1|root	11	0.012%
434	KOG1041@2759|Eukaryota	11	0.012%
435	KOG1216@1|root	11	0.012%
436	KOG1216@2759|Eukaryota	11	0.012%
437	2CV1G@1|root	11	0.012%
438	2RQEK@2759|Eukaryota	11	0.012%
439	39XY0@33154|Opisthokonta	11	0.012%
440	3BNS8@33208|Metazoa	11	0.012%
441	3D1TZ@33213|Bilateria	11	0.012%
442	483A8@7711|Chordata	11	0.012%
443	48V6P@7742|Vertebrata	11	0.012%
444	COG5184@2|Bacteria	11	0.012%
445	COG1680@2|Bacteria	11	0.012%
446	COG0697@2|Bacteria	11	0.012%
447	COG0419@1|root	11	0.012%
448	COG0038@1|root	11	0.012%
449	KOG0143@2759|Eukaryota	11	0.012%
450	KOG3178@1|root	11	0.012%
451	KOG3178@2759|Eukaryota	11	0.012%
452	COG0265@1|root	11	0.012%
453	COG0476@1|root	11	0.012%
454	KOG0714@2759|Eukaryota	11	0.012%
455	KOG4292@1|root	11	0.012%
456	KOG4292@2759|Eukaryota	11	0.012%
457	3CWAK@33213|Bilateria	11	0.012%
458	KOG0027@2759|Eukaryota	11	0.012%
459	KOG0531@2759|Eukaryota	11	0.012%
460	KOG1804@2759|Eukaryota	11	0.012%
461	2E3AK@1|root	11	0.012%
462	KOG0158@2759|Eukaryota	11	0.012%
463	KOG3624@2759|Eukaryota	11	0.012%
464	KOG1836@1|root	11	0.012%
465	KOG1836@2759|Eukaryota	11	0.012%
466	KOG0891@2759|Eukaryota	11	0.012%
467	COG5244@1|root	11	0.012%
468	38BAS@33154|Opisthokonta	11	0.012%
469	3B9IR@33208|Metazoa	11	0.012%
470	3CRJW@33213|Bilateria	11	0.012%
471	KOG1176@2759|Eukaryota	11	0.012%
472	COG2125@1|root	11	0.012%
473	KOG1646@2759|Eukaryota	11	0.012%
474	KOG0014@2759|Eukaryota	11	0.012%
475	37ZQ4@33090|Viridiplantae	11	0.012%
476	3GK8S@35493|Streptophyta	11	0.012%
477	2QWDY@2759|Eukaryota	11	0.012%
478	COG0656@1|root	11	0.012%
479	35PWT@314146|Euarchontoglires	11	0.012%
480	4Q579@9989|Rodentia	11	0.012%
481	3CYKV@33213|Bilateria	11	0.012%
482	KOG1471@1|root	10	0.011%
483	KOG1471@2759|Eukaryota	10	0.011%
484	COG0308@1|root	10	0.011%
485	KOG3736@2759|Eukaryota	10	0.011%
486	KOG1124@2759|Eukaryota	10	0.011%
487	COG1793@1|root	10	0.011%
488	COG0085@1|root	10	0.011%
489	COG0258@1|root	10	0.011%
490	38DPC@33154|Opisthokonta	10	0.011%
491	COG1802@1|root	10	0.011%
492	COG1802@2|Bacteria	10	0.011%
493	COG0517@1|root	10	0.011%
494	COG1520@2|Bacteria	10	0.011%
495	COG0346@2|Bacteria	10	0.011%
496	COG0679@1|root	10	0.011%
497	COG3409@1|root	10	0.011%
498	COG3409@2|Bacteria	10	0.011%
499	COG0367@1|root	10	0.011%
500	COG0558@1|root	10	0.011%
501	2C2VZ@1|root	10	0.011%
502	KOG0059@2759|Eukaryota	10	0.011%
503	28Q3T@1|root	10	0.011%
504	2QWSJ@2759|Eukaryota	10	0.011%
505	COG5277@1|root	10	0.011%
506	COG2801@2|Bacteria	10	0.011%
507	COG1506@2|Bacteria	10	0.011%
508	COG3829@1|root	10	0.011%
509	COG3829@2|Bacteria	10	0.011%
510	COG3509@1|root	10	0.011%
511	COG0524@1|root	10	0.011%
512	COG2227@1|root	10	0.011%
513	COG0300@1|root	10	0.011%
514	3JD16@40674|Mammalia	10	0.011%
515	35BEG@314146|Euarchontoglires	10	0.011%
516	COG2972@1|root	10	0.011%
517	COG2972@2|Bacteria	10	0.011%
518	COG5434@1|root	10	0.011%
519	COG3670@1|root	10	0.011%
520	KOG1235@2759|Eukaryota	10	0.011%
521	KOG1347@2759|Eukaryota	10	0.011%
522	COG0198@1|root	10	0.011%
523	KOG1674@1|root	10	0.011%
524	KOG1674@2759|Eukaryota	10	0.011%
525	KOG0417@2759|Eukaryota	10	0.011%
526	COG2110@1|root	10	0.011%
527	COG5647@1|root	10	0.011%
528	COG1161@1|root	10	0.011%
529	KOG0039@1|root	10	0.011%
530	KOG0039@2759|Eukaryota	10	0.011%
531	KOG3599@1|root	10	0.011%
532	KOG3599@2759|Eukaryota	10	0.011%
533	KOG2195@2759|Eukaryota	10	0.011%
534	COG2939@1|root	10	0.011%
535	KOG1282@2759|Eukaryota	10	0.011%
536	37M27@33090|Viridiplantae	10	0.011%
537	3GBWJ@35493|Streptophyta	10	0.011%
538	2SE86@2759|Eukaryota	10	0.011%
539	37Z5V@33090|Viridiplantae	10	0.011%
540	3GFIN@35493|Streptophyta	10	0.011%
541	38HEM@33154|Opisthokonta	10	0.011%
542	3BD3X@33208|Metazoa	10	0.011%
543	3CUHH@33213|Bilateria	10	0.011%
544	47ZXA@7711|Chordata	10	0.011%
545	48XNW@7742|Vertebrata	10	0.011%
546	39TAK@33154|Opisthokonta	10	0.011%
547	3BGZV@33208|Metazoa	10	0.011%
548	3CZP1@33213|Bilateria	10	0.011%
549	484HK@7711|Chordata	10	0.011%
550	48XYQ@7742|Vertebrata	10	0.011%
551	1MU9B@1224|Proteobacteria	9	0.010%
552	COG0566@1|root	9	0.010%
553	COG0431@1|root	9	0.010%
554	COG1413@1|root	9	0.010%
555	COG2202@1|root	9	0.010%
556	COG2202@2|Bacteria	9	0.010%
557	COG4733@1|root	9	0.010%
558	COG4733@2|Bacteria	9	0.010%
559	COG1233@1|root	9	0.010%
560	KOG0620@2759|Eukaryota	9	0.010%
561	COG5648@1|root	9	0.010%
562	KOG0381@2759|Eukaryota	9	0.010%
563	KOG1565@1|root	9	0.010%
564	KOG1565@2759|Eukaryota	9	0.010%
565	KOG0133@2759|Eukaryota	9	0.010%
566	KOG1164@1|root	9	0.010%
567	KOG0395@2759|Eukaryota	9	0.010%
568	KOG1610@1|root	9	0.010%
569	KOG1610@2759|Eukaryota	9	0.010%
570	COG2866@1|root	9	0.010%
571	KOG1052@1|root	9	0.010%
572	COG3311@1|root	9	0.010%
573	COG3311@2|Bacteria	9	0.010%
574	COG0604@2|Bacteria	9	0.010%
575	COG3118@1|root	9	0.010%
576	COG3118@2|Bacteria	9	0.010%
577	COG0791@1|root	9	0.010%
578	COG0791@2|Bacteria	9	0.010%
579	COG2890@1|root	9	0.010%
580	COG3064@1|root	9	0.010%
581	COG3064@2|Bacteria	9	0.010%
582	COG0847@1|root	9	0.010%
583	COG1132@2|Bacteria	9	0.010%
584	COG2730@1|root	9	0.010%
585	COG1136@1|root	9	0.010%
586	COG1136@2|Bacteria	9	0.010%
587	COG1960@2|Bacteria	9	0.010%
588	COG1266@1|root	9	0.010%
589	COG1266@2|Bacteria	9	0.010%
590	KOG0368@2759|Eukaryota	9	0.010%
591	COG0793@1|root	9	0.010%
592	COG0577@1|root	9	0.010%
593	COG0577@2|Bacteria	9	0.010%
594	COG3547@1|root	9	0.010%
595	COG3547@2|Bacteria	9	0.010%
596	COG3250@2|Bacteria	9	0.010%
597	3AFI0@33154|Opisthokonta	9	0.010%
598	3BWYW@33208|Metazoa	9	0.010%
599	KOG2579@1|root	9	0.010%
600	KOG2579@2759|Eukaryota	9	0.010%
601	COG2319@2|Bacteria	9	0.010%
602	COG3509@2|Bacteria	9	0.010%
603	COG1232@1|root	9	0.010%
604	COG1024@2|Bacteria	9	0.010%
605	COG2227@2|Bacteria	9	0.010%
606	COG0386@1|root	9	0.010%
607	COG1073@2|Bacteria	9	0.010%
608	COG1653@1|root	9	0.010%
609	COG1653@2|Bacteria	9	0.010%
610	COG1236@1|root	9	0.010%
611	COG0471@1|root	9	0.010%
612	KOG1202@2759|Eukaryota	9	0.010%
613	4Q1XJ@9989|Rodentia	9	0.010%
614	COG0693@1|root	9	0.010%
615	COG0419@2|Bacteria	9	0.010%
616	KOG0907@2759|Eukaryota	9	0.010%
617	KOG3078@2759|Eukaryota	9	0.010%
618	KOG0048@2759|Eukaryota	9	0.010%
619	COG0695@1|root	9	0.010%
620	COG5160@1|root	9	0.010%
621	38CZD@33154|Opisthokonta	9	0.010%
622	KOG1379@2759|Eukaryota	9	0.010%
623	COG3266@1|root	9	0.010%
624	COG3266@2|Bacteria	9	0.010%
625	KOG2445@1|root	9	0.010%
626	KOG2445@2759|Eukaryota	9	0.010%
627	KOG0543@2759|Eukaryota	9	0.010%
628	KOG2793@1|root	9	0.010%
629	KOG2793@2759|Eukaryota	9	0.010%
630	KOG0055@2759|Eukaryota	9	0.010%
631	COG0647@1|root	9	0.010%
632	KOG1158@2759|Eukaryota	9	0.010%
633	COG0584@1|root	9	0.010%
634	KOG4569@1|root	9	0.010%
635	KOG4569@2759|Eukaryota	9	0.010%
636	KOG1620@1|root	9	0.010%
637	KOG1620@2759|Eukaryota	9	0.010%
638	COG0142@1|root	9	0.010%
639	COG2091@1|root	9	0.010%
640	KOG1256@2759|Eukaryota	9	0.010%
641	KOG0498@1|root	9	0.010%
642	KOG0498@2759|Eukaryota	9	0.010%
643	COG5411@1|root	9	0.010%
644	2CMKC@1|root	9	0.010%
645	2QQNW@2759|Eukaryota	9	0.010%
646	KOG1198@2759|Eukaryota	9	0.010%
647	KOG0118@1|root	9	0.010%
648	KOG0118@2759|Eukaryota	9	0.010%
649	KOG1454@2759|Eukaryota	9	0.010%
650	COG0456@1|root	9	0.010%
651	KOG0691@2759|Eukaryota	9	0.010%
652	COG0500@2|Bacteria	9	0.010%
