Semantic Description Frequency Analysis
==================================================

Files processed: 27,866
Files with semantic_description: 16,110
Total semantic_description instances: 94,046
Unique semantic_description types: 9,126

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
380	symporter	33	0.035%
381	Encoded	33	0.035%
382	lysine	33	0.035%
383	epimerase	33	0.035%
384	recognition	33	0.035%
385	metal	32	0.034%
386	efflux	32	0.034%
387	step	32	0.034%
388	Calcium	32	0.034%
389	cells	32	0.034%
390	solute	32	0.034%
391	endoplasmic	32	0.034%
392	monooxygenase	32	0.034%
393	This	32	0.034%
394	prolyl	32	0.034%
395	cis	32	0.034%
396	heat	32	0.034%
397	integrase	32	0.034%
398	nucleic	32	0.034%
399	differentiation	32	0.034%
400	active	32	0.034%
401	Ubiquitin	32	0.034%
402	organization	32	0.034%
403	plasma	32	0.034%
404	NB	32	0.034%
405	oxygen	32	0.034%
406	WD40	32	0.034%
407	substances	32	0.034%
408	light	32	0.034%
409	Acetyltransferase	31	0.033%
410	intracellular	31	0.033%
411	Transcription	31	0.033%
412	major	31	0.033%
413	glycosyltransferase	31	0.033%
414	Helix	31	0.033%
415	GDSL	31	0.033%
416	ribonuclease	31	0.033%
417	Mortierella	31	0.033%
418	verticillata	31	0.033%
419	NRRL	31	0.033%
420	6337	31	0.033%
421	GNAT	30	0.032%
422	glucose	30	0.032%
423	hydrolysis	30	0.032%
424	oxidation	30	0.032%
425	it	30	0.032%
426	double	30	0.032%
427	electron	30	0.032%
428	respiratory	30	0.032%
429	fusion	30	0.032%
430	RING	30	0.032%
431	myosin	30	0.032%
432	export	29	0.031%
433	histidine	29	0.031%
434	plays	29	0.031%
435	Membrane	29	0.031%
436	Polysaccharide	29	0.031%
437	integral	29	0.031%
438	Acts	29	0.031%
439	constituent	29	0.031%
440	stranded	29	0.031%
441	repressor	29	0.031%
442	precursor	29	0.031%
443	lyase	29	0.031%
444	conversion	29	0.031%
445	periplasmic	29	0.031%
446	essential	29	0.031%
447	molecules	29	0.031%
448	kinases	29	0.031%
449	then	29	0.031%
450	toxin	29	0.031%
451	element	29	0.031%
452	carboxyl	29	0.031%
453	pre	29	0.031%
454	glutathione	29	0.031%
455	phosphodiesterase	29	0.031%
456	mannosyltransferase	29	0.031%
457	deacetylase	29	0.031%
458	copies	28	0.030%
459	across	28	0.030%
460	bound	28	0.030%
461	specifically	28	0.030%
462	facilitator	28	0.030%
463	induced	28	0.030%
464	position	28	0.030%
465	dehydrogenases	28	0.030%
466	inositol	28	0.030%
467	barrel	28	0.030%
468	may	28	0.030%
469	isoform	28	0.030%
470	dioxygenase	28	0.030%
471	molecular	28	0.030%
472	Complex	28	0.030%
473	60S	27	0.029%
474	attachment	27	0.029%
475	chloride	27	0.029%
476	kDa	27	0.029%
477	variety	27	0.029%
478	hydrolases	27	0.029%
479	using	27	0.029%
480	single	27	0.029%
481	alanine	27	0.029%
482	Cell	27	0.029%
483	condensation	27	0.029%
484	shock	27	0.029%
485	chemotaxis	27	0.029%
486	Histone	27	0.029%
487	Pfam	27	0.029%
488	10	27	0.029%
489	first	26	0.028%
490	HD	26	0.028%
491	Endonuclease	26	0.028%
492	antiporter	26	0.028%
493	palmitoyltransferase	26	0.028%
494	Enoyl	26	0.028%
495	recombination	26	0.028%
496	presence	26	0.028%
497	methyl	26	0.028%
498	cytoplasmic	26	0.028%
499	thus	26	0.028%
500	potassium	26	0.028%
501	translocation	26	0.028%
502	GlcNAc	26	0.028%
503	lactamase	26	0.028%
504	templated	26	0.028%
505	operon	26	0.028%
506	ATPases	26	0.028%
507	leucine	26	0.028%
508	poly	26	0.028%
509	folding	26	0.028%
510	mRNAs	26	0.028%
511	nucleoside	25	0.027%
512	anchor	25	0.027%
513	also	25	0.027%
514	glutamate	25	0.027%
515	Zn	25	0.027%
516	loop	25	0.027%
517	30S	25	0.027%
518	DnaJ	25	0.027%
519	universal	25	0.027%
520	homologous	25	0.027%
521	disulfide	25	0.027%
522	acting	25	0.027%
523	promoting	25	0.027%
524	cerevisiae	25	0.027%
525	chromatin	25	0.027%
526	dynein	25	0.027%
527	nuclease	24	0.026%
528	Outer	24	0.026%
529	heme	24	0.026%
530	GDP	24	0.026%
531	homeostasis	24	0.026%
532	damage	24	0.026%
533	acids	24	0.026%
534	ring	24	0.026%
535	coenzyme	24	0.026%
536	Ser	24	0.026%
537	ester	24	0.026%
538	mannose	24	0.026%
539	Solute	24	0.026%
540	esterase	23	0.024%
541	peroxidase	23	0.024%
542	hormone	23	0.024%
543	Plays	23	0.024%
544	acts	23	0.024%
545	play	23	0.024%
546	receiver	23	0.024%
547	aminotransferase	23	0.024%
548	Glu	23	0.024%
549	Part	23	0.024%
550	Uncharacterised	23	0.024%
551	acceptor	23	0.024%
552	ribose	23	0.024%
553	Sugar	23	0.024%
554	sigma	23	0.024%
555	lipase	23	0.024%
556	sulfotransferase	23	0.024%
557	independent	23	0.024%
558	functions	23	0.024%
559	Uncharacterized	22	0.023%
560	tail	22	0.023%
561	E	22	0.023%
562	metalloendopeptidase	22	0.023%
563	guanine	22	0.023%
564	restriction	22	0.023%
565	various	22	0.023%
566	affinity	22	0.023%
567	bond	22	0.023%
568	Conserved	22	0.023%
569	Phosphotransferase	22	0.023%
570	Rho	22	0.023%
571	SET	22	0.023%
572	Lys	22	0.023%
573	SDR	22	0.023%
574	muscle	22	0.023%
575	EF	22	0.023%
576	sorting	22	0.023%
577	Kinase	21	0.022%
578	filament	21	0.022%
579	glycine	21	0.022%
580	proliferation	21	0.022%
581	NADP	21	0.022%
582	termination	21	0.022%
583	exonuclease	21	0.022%
584	surface	21	0.022%
585	insertion	21	0.022%
586	carboxylase	21	0.022%
587	Sigma	21	0.022%
588	conjugating	21	0.022%
589	11	21	0.022%
590	PAS	21	0.022%
591	Diguanylate	21	0.022%
592	Glutathione	21	0.022%
593	C6	21	0.022%
594	import	21	0.022%
595	Rab	21	0.022%
596	TRAFAC	21	0.022%
597	By	21	0.022%
598	BTB	21	0.022%
599	metabolism	20	0.021%
600	sites	20	0.021%
601	Exonuclease	20	0.021%
602	found	20	0.021%
603	Eukaryotic	20	0.021%
604	tetR	20	0.021%
605	diphosphate	20	0.021%
606	Oxidoreductase	20	0.021%
607	phospho	20	0.021%
608	uridine	20	0.021%
609	0	20	0.021%
610	glycoprotein	20	0.021%
611	phage	20	0.021%
612	high	20	0.021%
613	X	20	0.021%
614	hydratase	20	0.021%
615	residues	20	0.021%
616	12	20	0.021%
617	transporting	20	0.021%
618	Thioredoxin	20	0.021%
619	ligand	20	0.021%
620	Non	20	0.021%
621	mitotic	20	0.021%
622	LTR	20	0.021%
623	copia	20	0.021%
624	18	20	0.021%
625	A1	20	0.021%
626	calmodulin	20	0.021%
627	RESISTANCE	20	0.021%
628	TonB	19	0.020%
629	diguanylate	19	0.020%
630	pseudouridine	19	0.020%
631	lipoprotein	19	0.020%
632	voltage	19	0.020%
633	Has	19	0.020%
634	amine	19	0.020%
635	homologues	19	0.020%
636	Binds	19	0.020%
637	molecule	19	0.020%
638	16S	19	0.020%
639	2C	19	0.020%
640	copper	19	0.020%
641	host	19	0.020%
642	body	19	0.020%
643	70	19	0.020%
644	matrix	19	0.020%
645	coiled	19	0.020%
646	X1	19	0.020%
647	Integrase	19	0.020%
648	K	19	0.020%
649	reductases	19	0.020%
650	spectrin	19	0.020%
651	stimulus	19	0.020%
652	sensitive	19	0.020%
653	proline	19	0.020%
654	break	19	0.020%
655	eIF	19	0.020%
656	one	19	0.020%
657	kinesin	19	0.020%
658	Thr	19	0.020%
659	SSU	19	0.020%
660	POZ	19	0.020%
661	Fungal	19	0.020%
662	energy	18	0.019%
663	mutase	18	0.019%
664	four	18	0.019%
665	dimerisation	18	0.019%
666	adenylate	18	0.019%
667	cAMP	18	0.019%
668	arabinose	18	0.019%
669	their	18	0.019%
670	belongs	18	0.019%
671	tRNAs	18	0.019%
672	addition	18	0.019%
673	adenosyl	18	0.019%
674	lipolytic	18	0.019%
675	bacterial	18	0.019%
676	CytoplasmicMembrane	18	0.019%
677	Acylhydrolase	18	0.019%
678	FMN	18	0.019%
679	promoter	18	0.019%
680	Mediates	18	0.019%
681	can	18	0.019%
682	target	18	0.019%
683	transcript	18	0.019%
684	aminoacyl	18	0.019%
685	Vacuolar	18	0.019%
686	Box	18	0.019%
687	8S	18	0.019%
688	binuclear	18	0.019%
689	His	17	0.018%
690	sensor	17	0.018%
691	morphogenesis	17	0.018%
692	28	17	0.018%
693	vacuolar	17	0.018%
694	monophosphate	17	0.018%
695	between	17	0.018%
696	excision	17	0.018%
697	adenine	17	0.018%
698	pyruvate	17	0.018%
699	Response	17	0.018%
700	uptake	17	0.018%
701	residue	17	0.018%
702	Predicted	17	0.018%
703	together	17	0.018%
704	stalk	17	0.018%
705	Periplasmic	17	0.018%
706	keto	17	0.018%
707	carboxypeptidase	17	0.018%
708	such	17	0.018%
709	receptors	17	0.018%
710	damaged	17	0.018%
711	autophagy	17	0.018%
712	CRISPR	17	0.018%
713	Carboxylesterase	17	0.018%
714	13	17	0.018%
715	glycerol	17	0.018%
716	aminopeptidase	17	0.018%
717	long	17	0.018%
718	Anaphase	17	0.018%
719	reverse	17	0.018%
720	Amino	17	0.018%
721	p24	17	0.018%
722	B3	17	0.018%
723	Myosin	17	0.018%
724	many	17	0.018%
725	Disease	17	0.018%
726	LysR	16	0.017%
727	Prokaryotic	16	0.017%
728	Helicase	16	0.017%
729	not	16	0.017%
730	substrates	16	0.017%
731	Nuclear	16	0.017%
732	lipopolysaccharide	16	0.017%
733	DEAD	16	0.017%
734	cytosine	16	0.017%
735	moiety	16	0.017%
736	transferases	16	0.017%
737	base	16	0.017%
738	viral	16	0.017%
739	C1	16	0.017%
740	metallopeptidase	16	0.017%
741	Small	16	0.017%
742	dehalogenase	16	0.017%
743	Mediator	16	0.017%
744	deaminase	16	0.017%
745	nucleus	16	0.017%
746	proteasome	16	0.017%
747	genes	16	0.017%
748	magnesium	16	0.017%
749	bonds	16	0.017%
750	electrons	16	0.017%
751	primary	16	0.017%
752	triphosphate	16	0.017%
753	hand	16	0.017%
754	guanyl	16	0.017%
755	40S	16	0.017%
756	Saccharomyces	16	0.017%
757	ARF	16	0.017%
758	Man	16	0.017%
759	Regulator	16	0.017%
760	Centrosomal	16	0.017%
761	secondary	16	0.017%
762	GAL4	16	0.017%
763	2Cys6	16	0.017%
764	lignans	16	0.017%
765	nucleocapsid	16	0.017%
766	act	15	0.016%
767	DHHC	15	0.016%
768	2S	15	0.016%
769	photolyase	15	0.016%
770	forming	15	0.016%
771	responsible	15	0.016%
772	but	15	0.016%
773	Acyltransferase	15	0.016%
774	GTPases	15	0.016%
775	dephosphorylation	15	0.016%
776	ascorbate	15	0.016%
777	different	15	0.016%
778	cGMP	15	0.016%
779	polysaccharide	15	0.016%
780	forms	15	0.016%
781	15	15	0.016%
782	amidase	15	0.016%
783	Carbohydrate	15	0.016%
784	mechanism	15	0.016%
785	enzymes	15	0.016%
786	decarboxylase	15	0.016%
787	phosphatases	15	0.016%
788	HX	15	0.016%
789	retrograde	15	0.016%
790	galactosyltransferase	15	0.016%
791	plant	15	0.016%
792	29	15	0.016%
793	Inositol	15	0.016%
794	expression	15	0.016%
795	junction	15	0.016%
796	HEAT	14	0.015%
797	flagellar	14	0.015%
798	structure	14	0.015%
799	heavy	14	0.015%
800	2Fe	14	0.015%
801	40	14	0.015%
802	steroid	14	0.015%
803	death	14	0.015%
804	Flavin	14	0.015%
805	Willebrand	14	0.015%
806	SNARE	14	0.015%
807	derivatives	14	0.015%
808	important	14	0.015%
809	produce	14	0.015%
810	pilus	14	0.015%
811	transcribed	14	0.015%
812	aminoacylation	14	0.015%
813	recycling	14	0.015%
814	PP	14	0.015%
815	glycosylation	14	0.015%
816	TA	14	0.015%
817	Short	14	0.015%
818	silencing	14	0.015%
819	Sulfotransferase	14	0.015%
820	polyubiquitination	14	0.015%
821	22	14	0.015%
822	chains	14	0.015%
823	low	14	0.015%
824	GGDEF	14	0.015%
825	primase	14	0.015%
826	nucleotidase	14	0.015%
827	has	14	0.015%
828	sulfate	14	0.015%
829	radical	14	0.015%
830	coupling	14	0.015%
831	membranes	14	0.015%
832	endosome	14	0.015%
833	decay	14	0.015%
834	S1	14	0.015%
835	Ubiquitination	14	0.015%
836	Targets	14	0.015%
837	cofactor	14	0.015%
838	delta	14	0.015%
839	K02A2	14	0.015%
840	acetylation	14	0.015%
841	ribosomes	14	0.015%
842	stability	14	0.015%
843	apoptotic	14	0.015%
844	flavin	14	0.015%
845	regulated	14	0.015%
846	Kelch	14	0.015%
847	Ala	14	0.015%
848	mediates	14	0.015%
849	believed	14	0.015%
850	immune	14	0.015%
851	effector	13	0.014%
852	phosphoacceptor	13	0.014%
853	polymerization	13	0.014%
854	HTH	13	0.014%
855	apparatus	13	0.014%
856	production	13	0.014%
857	endocytosis	13	0.014%
858	set	13	0.014%
859	Ras	13	0.014%
860	cytoskeleton	13	0.014%
861	C2H2	13	0.014%
862	antitoxin	13	0.014%
863	NmrA	13	0.014%
864	glycosylase	13	0.014%
865	cyclic	13	0.014%
866	inactivated	13	0.014%
867	hydroxyl	13	0.014%
868	deoxy	13	0.014%
869	aldehyde	13	0.014%
870	hydroxy	13	0.014%
871	including	13	0.014%
872	oxo	13	0.014%
873	acetylmuramoyl	13	0.014%
874	Converts	13	0.014%
875	multiple	13	0.014%
876	part	13	0.014%
877	16	13	0.014%
878	self	13	0.014%
879	immunity	13	0.014%
880	interleukin	13	0.014%
881	donor	13	0.014%
882	mismatch	13	0.014%
883	fructose	13	0.014%
884	motility	13	0.014%
885	translocase	13	0.014%
886	EamA	13	0.014%
887	carboxylic	13	0.014%
888	anion	13	0.014%
889	up	13	0.014%
890	released	13	0.014%
891	14	13	0.014%
892	clathrin	13	0.014%
893	vesicles	13	0.014%
894	meiotic	13	0.014%
895	PI3	13	0.014%
896	syndrome	13	0.014%
897	cobalamin	13	0.014%
898	open	13	0.014%
899	b	13	0.014%
900	20	13	0.014%
901	segregation	13	0.014%
902	Copper	13	0.014%
903	18S	13	0.014%
904	omega	13	0.014%
905	50S	13	0.014%
906	Rich	13	0.014%
907	choline	13	0.014%
908	phosphoesterase	12	0.013%
909	Flagellar	12	0.013%
910	molybdopterin	12	0.013%
911	mitochondria	12	0.013%
912	oxoglutarate	12	0.013%
913	Cation	12	0.013%
914	module	12	0.013%
915	Trypsin	12	0.013%
916	BED	12	0.013%
917	pore	12	0.013%
918	TPR	12	0.013%
919	pathways	12	0.013%
920	basal	12	0.013%
921	17	12	0.013%
922	acetylglucosaminyltransferase	12	0.013%
923	von	12	0.013%
924	yielding	12	0.013%
925	utilization	12	0.013%
926	CheY	12	0.013%
927	Asp	12	0.013%
928	generating	12	0.013%
929	derived	12	0.013%
930	Biotin	12	0.013%
931	interaction	12	0.013%
932	fission	12	0.013%
933	frame	12	0.013%
934	further	12	0.013%
935	exporter	12	0.013%
936	phosphotransferase	12	0.013%
937	asparagine	12	0.013%
938	ribonucleoprotein	12	0.013%
939	removal	12	0.013%
940	Sec	12	0.013%
941	mature	12	0.013%
942	Subtilase	12	0.013%
943	KR	12	0.013%
944	R	12	0.013%
945	Sodium	12	0.013%
946	hydroxyacyl	12	0.013%
947	Pleckstrin	12	0.013%
948	Glucose	12	0.013%
949	phosphodiester	12	0.013%
950	source	12	0.013%
951	responses	12	0.013%
952	promote	12	0.013%
953	Prolyl	12	0.013%
954	MAP	12	0.013%
955	Ribosome	12	0.013%
956	network	12	0.013%
957	machinery	12	0.013%
958	conjugation	12	0.013%
959	exocytosis	12	0.013%
960	IX	12	0.013%
961	telomere	12	0.013%
962	free	12	0.013%
963	manner	12	0.013%
964	Also	12	0.013%
965	Chromosome	12	0.013%
966	kinetochore	12	0.013%
967	LSU	12	0.013%
968	spindle	12	0.013%
969	DUF4283	12	0.013%
970	Arabidopsis	12	0.013%
971	homophilic	12	0.013%
972	exoribonuclease	11	0.012%
973	hypothetical	11	0.012%
974	phosphoglycerate	11	0.012%
975	Metal	11	0.012%
976	Probable	11	0.012%
977	Odorant	11	0.012%
978	motifs	11	0.012%
979	rate	11	0.012%
980	have	11	0.012%
981	guanylate	11	0.012%
982	21	11	0.012%
983	uracil	11	0.012%
984	pyrophosphate	11	0.012%
985	thioredoxin	11	0.012%
986	quinone	11	0.012%
987	UvrD	11	0.012%
988	Transporter	11	0.012%
989	NUDIX	11	0.012%
990	Autotransporter	11	0.012%
991	yield	11	0.012%
992	formyl	11	0.012%
993	Rossmann	11	0.012%
994	Is	11	0.012%
995	carbon	11	0.012%
996	cytidine	11	0.012%
997	CDP	11	0.012%
998	GPI	11	0.012%
999	HAMP	11	0.012%
1000	PH	11	0.012%
1001	HNH	11	0.012%
1002	CAAX	11	0.012%
1003	PD	11	0.012%
1004	XK	11	0.012%
1005	87	11	0.012%
1006	Gamma	11	0.012%
1007	putative	11	0.012%
1008	Q	11	0.012%
1009	Asn	11	0.012%
1010	virus	11	0.012%
1011	sub	11	0.012%
1012	necrosis	11	0.012%
1013	processes	11	0.012%
1014	migration	11	0.012%
1015	platelet	11	0.012%
1016	cilium	11	0.012%
1017	adaptor	11	0.012%
1018	several	11	0.012%
1019	late	11	0.012%
1020	capsid	11	0.012%
1021	envelope	11	0.012%
1022	Ring	11	0.012%
1023	thioesterase	11	0.012%
1024	cyclin	11	0.012%
1025	locus	11	0.012%
1026	36	11	0.012%
1027	Class	11	0.012%
1028	AraC	11	0.012%
1029	oligopeptidase	11	0.012%
1030	specialized	11	0.012%
1031	Sulfatase	11	0.012%
1032	ferredoxin	11	0.012%
1033	hydroxylase	11	0.012%
1034	taste	11	0.012%
1035	translational	11	0.012%
1036	snoRNA	11	0.012%
1037	snRNA	11	0.012%
1038	subset	11	0.012%
1039	Cyclin	11	0.012%
